티커,종목명,시장,RS,clenow,fip,신규,시총,r3,r6,r9,r12,close,거래대금20
079650,서산,KOSDAQ,99,151.55189083848614,0.0222222222222222,False,143200000000,323.6686390532545,389.7400820793433,412.5268432355046,330.2884615384615,7160,43854306864.25
000500,가온전선,KOSPI,99,-0.012476414136990532,0.06666666666666665,False,7563512178000,81.38711151736746,363.5882460302975,450.7252661477418,646.9050489605081,254000,55266299360.0
043260,성호전자,KOSDAQ,99,-0.7564182315075864,-0.11111111111111116,False,1283618488960,-62.52947481243301,-65.31746031746032,222.50922509225092,1499.2680695333943,17480,25348893578.0
001210,금호전기,KOSPI,99,14.60373693600928,-0.16666666666666669,False,154081399200,396.0159362549801,207.78739184178,304.8780487804878,193.97874852420304,12450,99876386780.5
036930,주성엔지니어링,KOSDAQ,99,-0.0033380955322109248,0.05555555555555558,False,9714554289000,-9.523809523809524,216.18759455370648,642.4511545293072,629.4938917975567,209000,244349190665.0
010170,대한광통신,KOSDAQ,99,-0.4089658587555696,-0.011111111111111072,False,2200122089000,-25.682773109243694,91.21621621621621,531.1329170383586,793.3080808080808,14150,120268417209.0
159010,아스플로,KOSDAQ,99,0.3371057898308694,0.04444444444444445,False,311366155650,6.864988558352403,376.53061224489795,430.6818181818182,527.6881720430108,23350,4668089271.5
046970,우리로,KOSDAQ,99,-0.48955358269620775,0.0222222222222222,False,315101742810,11.300309597523217,366.5801427644387,452.22734254992315,455.2123552123552,7190,17701305259.5
002990,금호건설,KOSPI,98,76.79617000755165,-0.16666666666666663,False,548094217540,282.07792207792204,191.86507936507934,253.1812725090036,270.062893081761,14710,165955269071.5
009150,삼성전기,KOSPI,98,1.1294628970442758e-07,0.0444444444444444,False,104571174400000,-18.319719953325553,249.5630461922597,414.7058823529412,635.2941176470588,1400000,936993161300.0
351320,넥사다이내믹스,KOSDAQ,98,0.4381172440083559,0.011111111111111072,False,119091554420,258.0357142857143,251.4460999123576,208.9368258859784,198.58525688756515,4010,4418347933.2
032580,피델릭스,KOSDAQ,98,0.012569587717955312,0.0444444444444444,False,168310885120,-9.9290780141844,400.9861932938856,353.9767649687221,325.4606365159129,5080,4048025400.5
327260,RF머트리얼즈,KOSDAQ,98,-0.10022284774870995,0.0,False,784313380400,30.68369151455206,28.488492028408928,325.0341197114447,596.708213486737,43600,29634785767.5
069540,빛과전자,KOSDAQ,98,-0.2849740586803268,-0.05555555555555558,False,436117641390,17.095310136157327,173.3050847457627,452.85714285714283,326.6813671444322,3870,47471662941.5
131290,티에스이,KOSDAQ,98,0.14858394725246338,0.03333333333333327,False,2881502254500,-3.6968576709796697,145.06114769520227,345.2991452991453,484.73625140291807,260500,44247180475.0
317400,자이에스앤디,KOSPI,98,29.09595287238574,-0.0222222222222222,False,439405951600,207.8804347826087,154.32098765432102,160.7594936708861,220.96317280453258,11330,16052276397.5
224060,더코디,KOSDAQ,98,-0.05030747848807892,-0.1777777777777778,False,51039540580,166.5768194070081,86.60377358490565,273.2075471698113,241.62348877374785,9890,2318260142.0
017900,광전자,KOSPI,98,-0.2491038041348076,-0.12222222222222223,False,457755727700,-15.053763440860212,279.80769230769226,335.0220264317181,318.43220338983053,7900,19608726234.5
047040,대우건설,KOSPI,98,-0.46594739659324563,-0.0222222222222222,False,8172952919820,-8.970251716247136,61.4448051948052,411.31105398457584,424.802110817942,19890,161539772459.5
331920,셀레믹스,KOSDAQ,98,-0.20404176345005876,-0.13333333333333336,False,154305459000,-9.626719056974464,119.04761904761907,370.98976109215016,364.6464646464646,13800,1141395982.0
001820,삼화콘덴서,KOSPI,98,0.002170552898686508,0.0222222222222222,False,1428273000000,7.176287051482055,171.54150197628456,311.377245508982,329.375,137400,96439998940.0
007460,에이프로젠,KOSPI,98,-0.014301867679206657,-0.33333333333333337,False,50396684590,-38.48484848484849,563.3986928104575,158.26972010178116,173.9541160593792,2030,1649085090.25
402340,SK스퀘어,KOSPI,97,-0.052634700826910415,0.011111111111111127,False,143665233822000,-19.808541973490424,103.93258426966293,253.57142857142856,451.95134313228584,1089000,587094321350.0
000660,SK하이닉스,KOSPI,97,-0.104551399757994,0.16666666666666663,False,1323652165380000,-15.720930232558139,99.12087912087912,217.33800350262698,451.5981735159817,1812000,6317153510900.0
064290,인텍플러스,KOSDAQ,97,3.167603883295039e-05,-0.11111111111111116,False,632977685300,15.212264150943389,223.29583057577764,260.2507374631268,219.90831696136212,48850,13747327067.5
006340,대원전선,KOSPI,97,5.441204466886105e-07,-0.07777777777777778,False,1034286147040,25.97898758357211,120.56856187290973,217.0673076923077,344.1077441077441,13190,38125145843.0
065170,비엘팜텍,KOSDAQ,97,0.006275303076711098,-0.11111111111111105,False,75925516960,53.239436619718305,-35.54502369668246,373.04347826086956,283.638928067701,2720,2298776236.35
417840,저스템,KOSDAQ,97,-0.11232355028080632,0.05555555555555558,False,359506669320,-10.171428571428576,120.16806722689077,343.1914293769383,249.17814304753443,15720,14097329504.0
319660,피에스케이,KOSDAQ,97,0.01737112933877581,-0.06666666666666665,False,3562905822000,-27.604473219540903,91.88767550702028,287.4015748031496,354.7134935304991,123000,41396506970.0
067290,JW신약,KOSDAQ,97,1.6257788354993297,-0.06666666666666665,False,196970417045,157.32064421669105,72.72727272727273,145.97620713785867,143.25259515570937,3515,72964464107.35
098120,마이크로컨텍솔,KOSDAQ,97,0.013136491311204576,0.011111111111111127,False,463852342800,85.07462686567165,96.82539682539681,199.83879634605051,197.4413646055437,55800,10792511675.0
020120,키다리스튜디오,KOSPI,97,1.3376179404437833,0.03333333333333327,False,300216504600,144.34389140271495,131.75965665236055,130.11363636363637,105.84498094027954,8100,7033202621.0
222800,심텍,KOSDAQ,97,-9.188721773632685e-08,0.06666666666666665,False,4982218713600,0.8455034588777943,152.79383429672447,146.61654135338344,350.0857632933105,131200,105272444425.0
095610,테스,KOSDAQ,97,0.06506101730875702,-0.0222222222222222,False,2778160000000,-21.2403951701427,119.75497702909648,282.6666666666667,281.1420982735724,143500,61974532955.0
031980,피에스케이홀딩스,KOSDAQ,97,-0.0006504657363964233,-0.0222222222222222,False,3385296015000,3.0860144451740013,52.7237354085603,264.6922183507549,306.7357512953368,157000,25874611445.0
080220,제주반도체,KOSDAQ,97,-0.029395173010104234,0.05555555555555558,False,2590101041600,-26.634146341463417,71.88571428571429,294.3366544310435,309.58605664488016,75200,110058910255.0
134580,탑코미디어,KOSDAQ,97,1.344306471468324,0.011111111111111072,False,176965994910,187.2,102.82485875706216,72.18225419664267,45.05050505050505,3590,3774642281.05
052860,아이앤씨,KOSDAQ,96,-0.0082908896092274,0.12222222222222218,False,125246646540,39.92015968063871,104.37317784256561,204.78260869565216,198.29787234042553,7010,662231940.75
024840,KBI메탈,KOSDAQ,96,-0.05560090554323286,-0.03333333333333327,False,231175200240,18.666666666666675,141.6289592760181,204.27350427350427,196.50194336479734,5340,22080692714.0
219130,타이거일렉,KOSDAQ,96,0.0903455820601482,-0.05555555555555558,False,431897436000,-13.087674714104192,113.75000000000001,215.9353348729792,241.14713216957603,68400,3106051820.0
228340,동양파일,KOSDAQ,96,2.6849398727631515,-0.1111111111111111,False,76900000000,126.30959387875222,63.269639065817415,122.3828802776171,100.15616866215512,3845,9777553450.0
126640,화신정공,KOSDAQ,96,6.525902264749466,0.12222222222222218,False,138996683150,-18.998978549540347,161.54353562005278,200.60652009097802,200.37878787878788,3965,11896336852.5
189330,씨이랩,KOSDAQ,96,2.203661072177461,0.0,False,108271557360,33.719582850521434,159.90990990990989,144.4915254237288,123.64341085271317,11540,5981612090.0
078930,GS,KOSPI,96,3.208952563931971,0.0,False,11054563905000,64.13793103448275,86.52037617554859,109.87654320987654,156.18945102260494,119000,63806326545.0
052460,아이크래프트,KOSDAQ,96,4.433257385297542,0.0,False,82096600320,89.54468802698146,73.1895223420647,112.0754716981132,104.735883424408,5620,2943462767.75
226340,본느,KOSDAQ,96,2.1504119998311313,-0.06666666666666671,False,44469565200,111.57684630738522,156.6585956416465,55.65345080763584,31.350681536555136,5300,13104457114.0
457600,벡트,KOSDAQ,96,26.68228074016155,0.04444444444444445,False,63123037500,109.31818181818183,125.73529411764706,65.64748201438849,52.736318407960205,4605,1071032429.0
